asn,name,class,cc
AS10383,"CenturyLink Communications, LLC",Unknown,US
AS10384,Tennessee Valley Authority,Unknown,US
AS10385,eiger,Unknown,US
AS10386,"Internet Connections, Inc.",Unknown,US
AS10387,"cha!, LLC",Unknown,US
AS10388,NETinc,Unknown,BM
AS10389,JPMorgan Chase & Co.,Unknown,US
AS1039,China Creek Internet Service LTD.,Unknown,CA
AS10390,"Fiserv Solutions, LLC",Unknown,US
AS10391,InteRED Panama,Unknown,PA
AS10392,New Source Broadband,Unknown,US
AS10394,"Allways, Inc.",Unknown,US
AS10395,Virtual University Enterprises,Unknown,US
AS10396,"DATACOM CARIBE, INC.",Eyeball,PR
AS10397,"Momentum Telecom, Inc.",Unknown,US
AS10398,"Great Bridge Internet, Inc.",Unknown,US
AS10399,Waller Creek Communications,Unknown,US
AS104,University of Colorado at Boulder,Unknown,US
AS1040,Academy City Internet LLC,Unknown,US
AS10400,Toronto Star,Unknown,CA
AS10401,Society for Accelerated Advancement of Amphetamines,Unknown,US
AS10402,Harrison School District Two,Unknown,US
AS10403,"Dynasty Online, Inc",Unknown,US
AS10404,Interactive Classified Network,Unknown,US
AS10405,Union Pacific Railroad Company,Unknown,US
AS10406,"Tektronix, Inc.",Unknown,US
AS10407,IAAVC,Unknown,US
AS10408,"Spectrum Enterprises, Inc.",Unknown,US
AS10409,Easylink Services Corporation,Unknown,US
AS1041,Kimberly-Clark Corporation,Unknown,US
AS10410,"Auto-Graphics, Inc.",Unknown,US
AS10411,Environmental Systems Research Institute,Unknown,US
AS10412,CIA. DE TECNOL. DA INFOR. E COMUNICAÇÃO DO PARANÁ,Unknown,BR
AS10413,Global Net,Unknown,US
AS10415,"Vscape International, Inc",Unknown,US
AS10416,"Evolution Communications, Inc.",Unknown,US
AS10417,Fundação de Desenvolvimento da Pesquisa,Unknown,BR
AS10418,TEKNOS Consulting Corporation,Unknown,US
AS10419,"Globius Systems, LLC",Unknown,US
AS1042,Apple Inc.,Unknown,US
AS10420,Banco de Mexico,Unknown,MX
AS10421,Texas Tech University,Unknown,US
AS10422,"Net Explorer, Inc.",Unknown,US
AS10423,STELLAR Broadband,Eyeball,US
AS10424,"CenturyLink Communications, LLC",Unknown,US
AS10426,autobahn Internet Solutions,Unknown,US
AS10427,Federal Information Exchange,Unknown,US
AS10428,The College of West Virginia,Unknown,US
AS10429,Vivo (TELEFÔNICA BRASIL),Eyeball,BR
AS1043,KSP Technology,Unknown,CA
AS10430,Washington State K-20 Telecommunications Network,Unknown,US
AS10431,Sonoran Software Systems LLC,Unknown,US
AS10432,American Personal Communications,Unknown,US
AS10433,USA-Net Corporation,Unknown,US
AS10434,"Satellite Communication Systems, Inc.",Unknown,US
AS10435,ID COMMUNICATIONS,Unknown,US
AS10436,Instituto Tecnológico y de Estudios Superiores de Monterrey,Unknown,MX
AS10437,Kentucky Regional Optical Network (KY-RON),Unknown,US
AS10438,"Information Systems, Inc.",Unknown,US
AS10439,"CariNet, Inc.",Unknown,US
AS1044,Blinn College,Unknown,US
AS10440,Merkle Inc.,Unknown,US
AS10441,Jacobs Engineering Group Inc.,Unknown,US
AS10442,U.S. Department of Education,Unknown,US
AS10443,Wolfe Internet Access,Unknown,US
AS10444,"ZB, National Association",Unknown,US
AS10445,Huntleigh Telcom,Unknown,US
AS10446,Zero Error Networks,Unknown,US
AS10447,"Skylink Networks, Inc.",Unknown,US
AS10448,Villanova University,Unknown,US
AS10449,"DiscoverNet, Inc.",Unknown,US
AS1045,"ZS Associates, Inc",Unknown,US
AS10450,ADVANTECH,Unknown,US
AS10451,Warpdrive Networks,Unknown,US
AS10452,FritzWare S.R.L.,Unknown,AR
AS10453,"CREATIVE NETWORK INNOVATIONS, INC.",Unknown,US
AS10454,Interdotnet do Brasil Ltda,Unknown,BR
AS10455,Nokia of America Corporation,Unknown,US
AS10456,"AT&T Services, Inc.",Unknown,US
AS10457,Refinitiv US LLC,Unknown,US
AS10458,"Juniper Networks, Inc.",Unknown,US
AS10459,Web America Networks,Unknown,US
AS1046,Fiberifi,Unknown,US
AS10460,"Scoop, Inc.",Unknown,US
AS10461,Eze Castle Software LLC,Unknown,US
AS10462,Shadow Infromation Services,Unknown,US
AS10463,Enlared C.A.,Unknown,VE
AS10464,"US Signal Company, L.L.C.",Unknown,US
AS10465,Aerioconnect,Unknown,US
AS10466,MAGPI,Unknown,US
AS10467,New Media Laboratories,Unknown,US
AS10468,"Aslan Communications, Inc.",Unknown,US
AS10469,"The Ridgefield Group, Inc.",Unknown,US
AS1047,Lakeside Networks LLC,Unknown,US
AS10470,pcOrder.com,Unknown,US
AS10471,Thomson Information Services,Unknown,US
AS10472,Communications World Network,Unknown,US
AS10473,CompUSA Direct,Unknown,US
AS10474,Dimension Data,Eyeball,ZA
AS10475,Tampa Bay Access Exchange LLC,Unknown,US
AS10476,Cable Onda,Unknown,PA
AS10477,"Cephas Multimedia, Inc.",Unknown,US
AS10478,PTI Communications,Unknown,US
AS10479,Instituto Tecnológico y de Estudios Superiores de Monterrey,Unknown,MX
AS1048,MERLIN,Unknown,CA
AS10480,"HIVELOCITY, Inc.",Unknown,US
AS10481,Telecom Argentina S.A.,Eyeball,AR
AS10482,Shaw Communications,Unknown,CA
AS10483,Alaska Permanent Fund,Unknown,US
AS10484,H&R Block,Unknown,US
AS10485,University of Wisconsin - Stout,Unknown,US
AS10486,"Fastrans Logistics, Inc.",Unknown,US
AS10487,"Simple Network Communications, Inc",Unknown,US
AS10488,TFM Associates LLC,Unknown,US
AS10489,"Armour Cloud, LLC",Unknown,US
