asn,name,cc,real_cone_size,observed_tree_size,secure_pct,vulnerable_pct,vuln_count
2764,AAPT Limited,AU,336,2574310905396713067,5.026026411037464,68.75048878583341,1769851330327253697
35280,F5 Networks SARL,BR,325,2031372603985409,5.026026410960958,68.75048878608305,1396578594306552
4635,HKIX Route Servers,HK,109,69486212949449468,5.02602641103393,68.7504887858404,47772111041516438
34872,Servperso Systems,DE,179,570,0.3508771929824561,69.82456140350877,398
51396,Pfcloud UG,UA,16,17,0.0,64.70588235294117,11
34718,"""IST TELEKOM"" JV LLC",UZ,30,29,0.0,96.55172413793103,28
11996,"Lobo Internet Services, Ltd",US,7,7,0.0,42.857142857142854,3
34309,Link11 GmbH,GB,95,1133,1.059135039717564,71.31509267431598,808
201706,SERVICEPIPE LLC,RU,168,4027,0.5214800099329526,84.45492922771294,3401
25227,JSC Avantel,RU,62,114873958225,5.026026416441088,68.75048836074004,78976407279
10396,"DATACOM CARIBE, INC.",PR,36,28,0.0,89.28571428571429,25
