Quadrant,ASN,CC,Cone,Percentile,Name
Q1: GOLD STANDARD,7303,AR,299,78.3750670241287,Telecom Argentina S.A.
Q1: GOLD STANDARD,38158,ID,298,88.06088435374149,PT Cyberindo Aditama
Q1: GOLD STANDARD,49915,GB,297,62.76077170418007,Megaport (UK) Limited
Q1: GOLD STANDARD,31027,DK,235,63.9885593220339,GlobalConnect A/S
Q1: GOLD STANDARD,15935,CZ,226,66.70727272727272,ha-vel internet s.r.o.
Q1: GOLD STANDARD,12302,RO,215,74.53148148148149,Vodafone Romania S.A.
Q1: GOLD STANDARD,45296,ID,213,90.3406862745098,PT Rabik Bangun Nusantara
Q1: GOLD STANDARD,58389,ID,201,89.19107981220658,PT Sumber Data Indonesia
Q1: GOLD STANDARD,328977,KE,199,67.90679611650486,Wavex Internet Service Provider LTD
Q1: GOLD STANDARD,22927,AR,198,86.78956043956045,Telefonica de Argentina
Q1: GOLD STANDARD,11664,AR,186,61.115053763440855,Techtel LMDS Comunicaciones Interactivas S.A.
Q1: GOLD STANDARD,135607,PH,183,91.7045197740113,Infinivan Incorporated
Q1: GOLD STANDARD,15924,TR,183,91.12222222222222,Vodafone Turkey
Q1: GOLD STANDARD,39392,CZ,172,77.2530487804878,SH.cz s.r.o.
Q1: GOLD STANDARD,24534,ID,166,91.06026490066225,PT Trans Hybrid Communication
Q1: GOLD STANDARD,4764,AU,165,73.52958579881657,Aussie Fibre Pty Ltd
Q1: GOLD STANDARD,3215,FR,146,61.23732394366198,Orange S.A.
Q1: GOLD STANDARD,16019,CZ,136,87.00655737704919,Vodafone Czech Republic a.s.
Q1: GOLD STANDARD,137366,ID,132,87.51428571428572,PT iForte Solusi Infotek
Q1: GOLD STANDARD,45147,ID,129,85.11052631578949,PT NAP Info Lintas Nusa
Q1: GOLD STANDARD,8953,RO,119,73.94214876033058,Orange Romania S.A.
Q1: GOLD STANDARD,138128,ID,116,86.82038834951456,PT Solnet Indonesia
Q1: GOLD STANDARD,270735,BR,110,64.783,COMPUTIZE NETWORK TELECOMUNICACOES LTDA
Q1: GOLD STANDARD,41798,KZ,107,61.2173076923077,JSC Transtelecom
Q1: GOLD STANDARD,7470,TH,90,74.62666666666667,"TRUE INTERNET Co.,Ltd."
Q1: GOLD STANDARD,134654,ID,88,83.92888888888889,PT Data Utama Dinamika
Q1: GOLD STANDARD,40676,US,84,82.93012048192772,Psychz Networks
Q1: GOLD STANDARD,394684,US,73,70.3078947368421,GOLD DATA USA INC
Q1: GOLD STANDARD,4621,TH,69,74.79565217391306,UniNet Thailand
Q1: GOLD STANDARD,58212,DE,67,92.42424242424242,dataforest GmbH
Q1: GOLD STANDARD,5483,HU,66,77.73188405797102,Magyar Telekom Plc.
Q1: GOLD STANDARD,14259,CL,64,68.16849315068494,Gtd Internet S.A.
Q1: GOLD STANDARD,3212,SI,62,82.17142857142858,Telemach Slovenija d.o.o.
Q1: GOLD STANDARD,139901,BD,59,99.1,Apple Communication Ltd.
Q1: GOLD STANDARD,35699,ES,58,72.01186440677965,Adamo Telecom Iberia S.A.
Q1: GOLD STANDARD,8412,AT,56,67.83684210526316,T-Mobile Austria GmbH
Q1: GOLD STANDARD,6768,UA,56,66.63653846153846,"""EUROTELE-PLUS"" LLC"
Q1: GOLD STANDARD,396998,US,56,77.738,"Path Network, Inc."
Q1: GOLD STANDARD,61621,BR,56,62.745098039215684,Norte.Net Telecomunicações Ltda
Q1: GOLD STANDARD,14618,US,55,87.3218181818182,"Amazon.com, Inc."
Q1: GOLD STANDARD,3249,EE,51,75.74313725490197,Telia Eesti AS
Q1: GOLD STANDARD,24516,AU,51,72.70943396226414,Virtutel Pty Ltd
Q1: GOLD STANDARD,9507,AU,50,64.99285714285715,NextHop Pty Ltd
