asn,cone,verdict,secure_parents,parent_count
26594,0,STUB: VULNERABLE STABLE,"[7049, 3356, 22927]",3
401095,0,STUB: VULNERABLE STABLE,"[7385, 3356]",2
13326,0,STUB: VULNERABLE STABLE,"[3356, 174]",3
28526,0,STUB: VULNERABLE UNSTABLE,"[28458, 3356, 174]",4
14034,0,STUB: VULNERABLE STABLE,"[33660, 3356]",2
398440,0,STUB: VULNERABLE STABLE,[3356],2
397460,0,STUB: VULNERABLE STABLE,[3356],2
32530,0,STUB: VULNERABLE STABLE,"[3356, 13367]",3
51795,0,STUB: VULNERABLE STABLE,[3356],2
11523,0,STUB: VULNERABLE STABLE,[3356],2
35928,0,STUB: VULNERABLE STABLE,"[33667, 19332, 33668, 11404, 16019, 29208, 9498, 8220, 3356, 6181, 174, 13367, 3257, 577, 1221, 17222, 6730, 209, 33363, 33491, 7018, 33651, 33652]",30
272275,0,STUB: VULNERABLE STABLE,[3356],2
30379,0,STUB: VULNERABLE STABLE,"[13760, 3356]",2
25581,0,STUB: VULNERABLE STABLE,"[3356, 3303]",4
24477,0,STUB: VULNERABLE STABLE,"[2914, 4826, 3356, 4637]",6
396290,0,STUB: VULNERABLE STABLE,[3356],2
10554,0,STUB: VULNERABLE STABLE,"[3356, 13868, 46887]",3
19622,0,STUB: VULNERABLE STABLE,"[7018, 33651, 3356, 174]",4
393557,0,STUB: VULNERABLE STABLE,"[33660, 3356]",2
17274,0,STUB: VULNERABLE STABLE,"[174, 6939, 3356, 6461]",5
14110,0,STUB: VULNERABLE STABLE,"[6939, 3356]",3
40391,0,STUB: VULNERABLE STABLE,"[7018, 33650, 13367, 33657, 3356, 15165]",7
33274,0,STUB: VULNERABLE STABLE,"[16904, 3356, 6461]",3
13460,0,STUB: VULNERABLE STABLE,"[46887, 174, 6939, 3356, 701]",5
397468,0,STUB: VULNERABLE STABLE,"[4764, 577, 7018, 174, 132847, 7474, 13876, 4826, 6939, 3356, 21949]",12
272022,0,STUB: VULNERABLE STABLE,"[174, 3356, 12956, 3549]",5
8161,0,STUB: VULNERABLE STABLE,"[7018, 12025, 3356]",6
13860,0,STUB: VULNERABLE STABLE,"[3356, 174, 19855]",4
53729,0,STUB: VULNERABLE STABLE,[3356],2
51857,0,STUB: VULNERABLE STABLE,"[3356, 13127]",3
63198,0,STUB: VULNERABLE STABLE,"[33652, 3356]",2
36008,0,STUB: VULNERABLE STABLE,"[3356, 6461, 21949]",3
6623,0,STUB: VULNERABLE STABLE,"[1299, 3356, 4213]",3
19216,0,STUB: VULNERABLE STABLE,"[11426, 33659, 3356, 701]",4
35777,0,STUB: VULNERABLE STABLE,"[8422, 46887, 7018, 8220, 7922, 1299, 6453, 33657, 3356]",9
11881,0,STUB: VULNERABLE STABLE,[3356],2
266414,0,STUB: VULNERABLE STABLE,"[3356, 53013]",4
267522,0,STUB: VULNERABLE STABLE,"[6939, 3356, 174]",4
265389,0,STUB: VULNERABLE STABLE,[3356],3
398457,0,STUB: VULNERABLE STABLE,"[7385, 3356]",2
201641,0,STUB: VULNERABLE STABLE,"[12552, 3356]",2
30520,0,STUB: VULNERABLE STABLE,"[3356, 46887]",2
206646,0,STUB: VULNERABLE STABLE,"[3356, 702]",2
20234,0,STUB: VULNERABLE STABLE,"[3356, 15164, 174]",3
35994,0,STUB: VULNERABLE STABLE,"[1299, 6453, 3257, 3356, 6461]",6
53831,0,STUB: VULNERABLE STABLE,"[2914, 1299, 3356, 6461]",5
397650,0,STUB: VULNERABLE STABLE,"[7018, 174, 13367, 3356, 6461]",5
54778,0,STUB: VULNERABLE STABLE,"[2914, 174, 31216, 209, 62833, 3257, 6939, 3356]",8
397183,0,STUB: VULNERABLE STABLE,"[33650, 3257, 3356, 6461]",5
63044,0,STUB: VULNERABLE STABLE,"[3356, 7029]",4
18533,0,STUB: VULNERABLE STABLE,"[33650, 3356]",2
34966,0,STUB: VULNERABLE STABLE,"[41692, 8220, 3320, 3257, 6939, 3356, 5405]",7
201966,0,STUB: VULNERABLE STABLE,"[3356, 174]",4
62500,0,STUB: VULNERABLE STABLE,"[3356, 174]",3
2923,0,STUB: VULNERABLE STABLE,"[7018, 3356]",3
29855,0,STUB: VULNERABLE STABLE,"[3356, 7725]",2
48210,0,STUB: VULNERABLE STABLE,"[8680, 3356]",2
4196,0,STUB: VULNERABLE STABLE,"[7018, 3356, 701]",4
53675,0,STUB: VULNERABLE STABLE,"[13760, 7018, 3356, 701]",4
25046,0,STUB: VULNERABLE STABLE,"[1680, 3356, 8551]",4
10695,0,STUB: VULNERABLE STABLE,"[209, 3356, 6461]",4
11364,0,STUB: VULNERABLE STABLE,"[7385, 3356]",2
7270,0,STUB: VULNERABLE STABLE,"[174, 1299, 3257, 3356, 701]",6
13458,0,STUB: VULNERABLE STABLE,"[3356, 701, 174]",4
58536,0,STUB: VULNERABLE STABLE,"[19174, 4808, 4812, 3356]",7
32834,0,STUB: VULNERABLE STABLE,"[3356, 6461]",3
395505,0,STUB: VULNERABLE STABLE,"[1828, 174, 33491, 4826, 3356, 6461]",6
30639,0,STUB: VULNERABLE STABLE,"[33660, 3356, 701]",3
52341,0,STUB: VULNERABLE STABLE,"[3356, 174]",3
36207,0,STUB: VULNERABLE STABLE,[3356],2
400013,0,STUB: VULNERABLE STABLE,[3356],3
14925,0,STUB: VULNERABLE STABLE,"[7018, 3356]",3
23053,0,STUB: VULNERABLE STABLE,[3356],2
266311,0,STUB: VULNERABLE STABLE,[3356],2
26857,0,STUB: VULNERABLE STABLE,"[174, 6939, 3356, 6461]",6
30512,0,STUB: VULNERABLE STABLE,"[55216, 3356]",2
202093,0,STUB: VULNERABLE STABLE,"[12552, 1299, 3356]",4
2047,0,STUB: VULNERABLE STABLE,"[174, 3356, 13335, 8220]",5
31152,0,STUB: VULNERABLE STABLE,[3356],2
18669,0,STUB: VULNERABLE STABLE,"[33652, 3356, 22773]",3
32021,0,STUB: VULNERABLE STABLE,[3356],2
30444,0,STUB: VULNERABLE STABLE,"[10674, 3356, 174]",3
53316,0,STUB: VULNERABLE STABLE,"[3257, 8002, 3356, 174]",4
398195,0,STUB: VULNERABLE STABLE,"[46450, 3356, 174]",3
32951,0,STUB: VULNERABLE STABLE,"[23200, 3356]",2
60538,0,STUB: VULNERABLE STABLE,[3356],2
26804,0,STUB: VULNERABLE STABLE,"[3356, 6181]",2
44786,0,STUB: VULNERABLE STABLE,"[1299, 3356, 6453, 8220]",6
50349,0,STUB: VULNERABLE STABLE,"[5617, 197091, 3356]",3
27475,0,STUB: VULNERABLE STABLE,[3356],2
45561,0,STUB: VULNERABLE STABLE,"[3491, 3356]",3
271394,0,STUB: VULNERABLE UNSTABLE,[3356],4
395098,0,STUB: VULNERABLE STABLE,"[7018, 3356, 701]",4
21803,0,STUB: VULNERABLE STABLE,"[209, 3356, 6653]",4
10718,0,STUB: VULNERABLE STABLE,"[7018, 3356, 6461, 46887]",4
46348,0,STUB: VULNERABLE STABLE,[3356],2
41766,0,STUB: VULNERABLE STABLE,[3356],2
268843,0,STUB: VULNERABLE STABLE,[3356],4
63383,0,STUB: VULNERABLE STABLE,"[3257, 3356, 7453]",4
125,0,STUB: VULNERABLE STABLE,"[22773, 6939, 3356, 6461]",7
