asn,name,cone,verdict,dirty,total
39122,Blacknight Internet Solutions Limited,23,SECURE (Full Coverage),0,3
39120,Convergenze S.p.A.,23,SECURE (Active Local ROV),2,8
207252,Felix Gassan,23,SECURE (Active Local ROV),2,5
39642,Norlys Digital A/S,23,SECURE (Full Coverage),0,3
24521,PT Data Utama Dinamika,22,SECURE (Active Local ROV),4,4
32270,"LD Telecommunications, Inc.",22,SECURE (Full Coverage),0,3
212027,PebbleHost Ltd,22,SECURE (Active Local ROV),2,7
41960,Nextpertise B.V.,22,SECURE (Active Local ROV),4,7
13009,Redcentric Solutions Ltd,22,SECURE (Full Coverage),0,3
51048,Next Connex Ltd,22,SECURE (Full Coverage),0,2
393238,"ImOn Communications, LLC",21,SECURE (Full Coverage),0,2
376,Reseau d'Informations Scientifiques du Quebec (RISQ Inc.),21,PARTIAL (Mixed Feeds),3,5
12611,R-KOM Regensburger,21,SECURE (Active Local ROV),3,5
400304,Redoubt Networks (Crunchbits),21,SECURE (Full Coverage),0,2
18809,Cable Onda,21,SECURE (Active Local ROV),2,3
15169,Google LLC,21,SECURE (Active Local ROV),9,15
13127,Odido Netherlands B.V.,21,SECURE (Full Coverage),0,1
15623,Cyberlink AG,21,SECURE (Active Local ROV),4,8
262785,Click Telecom,20,PARTIAL (Mixed Feeds),3,4
34953,RelAix Networks GmbH,20,SECURE (Active Local ROV),1,5
25144,Telekomunikacije Republike Srpske a.d.,20,SECURE (Active Local ROV),2,3
36925,Orange Maroc,20,SECURE (Active Local ROV),2,4
35047,Abissnet sh.a.,20,SECURE (Full Coverage),0,3
46475,"Limestone Networks, Inc.",20,SECURE (Active Local ROV),5,9
24971,MasterDC s.r.o.,20,SECURE (Active Local ROV),1,3
30456,Cosmic Global Networks,20,SECURE (Active Local ROV),1,4
21334,One Hungary Ltd.,20,SECURE (Full Coverage),0,2
20712,Andrews & Arnold Ltd,19,SECURE (Active Local ROV),2,5
31252,StarNet Solutii SRL,19,SECURE (Active Local ROV),1,7
50973,Vodafone Albania Sh.A.,19,SECURE (Full Coverage),0,4
20912,Panservice s.a.s. di Cuseo Fabrizio & C.,19,SECURE (Active Local ROV),1,5
11830,Instituto Costarricense de Electricidad y Telecom.,19,SECURE (Active Local ROV),2,4
8968,BT Italia S.p.A.,19,SECURE (Full Coverage),0,4
209097,NETSYST SAS,19,SECURE (Active Local ROV),3,6
13285,TalkTalk Communications Limited,18,SECURE (Active Local ROV),2,6
8426,Claranet Limited,18,SECURE (Active Local ROV),2,6
48314,IP-Projects GmbH & Co. KG,18,SECURE (Active Local ROV),6,11
262808,Brasilnet Telecomunicações Ltda ME,18,PARTIAL (Mixed Feeds),1,4
262197,MILLICOM CABLE COSTA RICA S.A.,18,PARTIAL (Mixed Feeds),1,2
13101,TNG Stadtnetz GmbH,17,SECURE (Active Local ROV),1,5
215467,Skhron OU,17,SECURE (Active Local ROV),3,7
262474,ALTERNA TELECOMUNICACOES E CONECTIVIDADE LTDA EPP,17,PARTIAL (Mixed Feeds),3,4
32133,Ting Fiber Inc.,17,SECURE (Active Local ROV),2,4
8585,Crnogorski Telekom a.d.Podgorica,17,SECURE (Active Local ROV),1,1
262352,NOVA TELECOM LTDA,17,VULNERABLE (No Coverage),4,4
262427,Invista Net Provedor de Acesso Ltda,17,PARTIAL (Mixed Feeds),6,8
27882,Telefónica Celular de Bolivia S.A.,17,SECURE (Active Local ROV),6,6
39040,NTS workspace AG,17,SECURE (Active Local ROV),2,3
262632,Graja Fibra,17,SECURE (Full Coverage),0,1
49505,JSC Selectel,16,SECURE (Active Local ROV),4,8
200132,Peter-Paul Maria Kurstjens,16,SECURE (Active Local ROV),3,6
47526,handily networks GmbH,16,SECURE (Active Local ROV),1,5
262753,VOCE TELECOMUNICACOES LTDA,16,PARTIAL (Mixed Feeds),1,2
20904,Cinia Oy (fka. Netplaza),16,SECURE (Full Coverage),0,2
24723,Atman Sp. z o.o.,16,SECURE (Full Coverage),0,3
4581,Socket Holdings Corporation,16,SECURE (Full Coverage),0,3
262403,Net Way Telecom LTDA ME,15,VULNERABLE (No Coverage),5,5
3308,Telia Company AB (Denmark),15,SECURE (Full Coverage),0,1
31263,MYNET S.R.L.,15,SECURE (Active Local ROV),1,2
262417,UltraTelecom Provedora de Internet,15,VULNERABLE (No Coverage),2,2
5539,SpaceNet AG,15,SECURE (Active Local ROV),3,8
44486,"Oliver Horscht is trading as ""SYNLINQ""",15,SECURE (Active Local ROV),3,5
34428,Giulio Lo Presti,15,SECURE (Active Local ROV),1,6
262150,Empresa Provincial de Energia de Cordoba,15,PARTIAL (Mixed Feeds),1,2
8943,Jump Networks Ltd,15,SECURE (Full Coverage),0,2
8728,AS INFONET,15,SECURE (Full Coverage),0,3
61468,CEDIA,15,SECURE (Active Local ROV),4,9
33983,ARTMOTION SH.P.K.,14,SECURE (Full Coverage),0,3
262595,OnNet Telecomunicacoes LTDA,14,PARTIAL (Mixed Feeds),3,4
262490,Ambiente Virtual Sistemas e Conectividade Ltda,14,VULNERABLE (No Coverage),3,3
198385,AlpineDC SA,14,SECURE (Active Local ROV),1,5
30742,Bremen Briteline GmbH,14,SECURE (Full Coverage),0,6
3132,Red Cientifica Peruana,14,SECURE (Active Local ROV),3,7
262459,Osirnet Info Telecom Ltda.,14,PARTIAL (Mixed Feeds),3,6
4725,SoftBank Corp.,14,SECURE (Active Local ROV),1,2
2609,Tunisia BackBone AS,14,SECURE (Active Local ROV),1,5
51087,Bling Network Ltd,13,SECURE (Active Local ROV),5,7
8468,Cityfibre Limited,13,SECURE (Full Coverage),0,2
28685,Routit BV,13,SECURE (Full Coverage),0,1
211588,Innovation Harbor B.V.,13,SECURE (Active Local ROV),1,2
21263,TeleData GmbH,13,SECURE (Active Local ROV),2,6
42184,TKRZ Stadtwerke GmbH,13,SECURE (Active Local ROV),1,5
8888,xTom Pty Ltd,13,SECURE (Active Local ROV),2,6
43541,VSHosting s.r.o.,13,SECURE (Full Coverage),0,2
26210,AXS Bolivia S. A.,13,SECURE (Active Local ROV),1,1
37187,Inq. Digital Limited,13,SECURE (Active Local ROV),1,2
8365,Man-da.de GmbH,13,SECURE (Active Local ROV),1,3
400212,VergeTel Group LLC,13,SECURE (Active Local ROV),1,3
8240,Information System Authority Republic of Estonia,13,SECURE (Full Coverage),0,2
50877,Airbeam S.r.l.,13,SECURE (Active Local ROV),4,7
30851,Sileman Sp. z o.o.,13,SECURE (Active Local ROV),2,4
262675,Solucao Network Provedor Ltda,12,PARTIAL (Mixed Feeds),3,4
59645,Tobias Fiebig,12,SECURE (Active Local ROV),3,6
50340,Selectel - Moscow,12,SECURE (Active Local ROV),8,11
47447,23M GmbH,12,SECURE (Full Coverage),0,4
262734,TUX NET SERVIÇOS DE INFORMÁTICA LTDA,12,VULNERABLE (No Coverage),3,3
28118,ALTICE DOMINICANA S.A.,12,SECURE (Active Local ROV),3,7
41009,Oleksandr Melnyk,12,SECURE (Active Local ROV),1,3
60798,Servereasy Srl,12,SECURE (Active Local ROV),2,4
57,University of Minnesota,12,PARTIAL (Mixed Feeds),2,5
42541,Fiberby ApS,12,SECURE (Full Coverage),0,3
29608,OVEA SAS,12,SECURE (Active Local ROV),2,5
262300,SUPER CONNECT TELECOM LTDA,12,PARTIAL (Mixed Feeds),2,3
398447,"OHANACRAFT, LLC",12,SECURE (Active Local ROV),1,2
262517,NIQTURBO PIMENTEL E MOREIRA LTDA,12,PARTIAL (Mixed Feeds),3,4
214439,"Zhuhai Xiyun Cloud Technology Co., Ltd.",12,SECURE (Active Local ROV),2,2
262365,IBI TELECOM EIRELI,11,VULNERABLE (No Coverage),3,3
37492,Orange Tunisie,11,SECURE (Active Local ROV),1,3
8391,Knipp Medien und Kommunikation GmbH,11,SECURE (Active Local ROV),2,2
199284,Thueringer Netkom GmbH,11,SECURE (Active Local ROV),2,4
262424,InterSoft Internet Software EIRELI,11,PARTIAL (Mixed Feeds),2,3
328594,SUDATCHAD SA/CA,11,SECURE (Full Coverage),0,1
20278,"Nexeon Technologies, Inc.",11,SECURE (Active Local ROV),3,9
8680,Sure (Guernsey) Limited,11,SECURE (Active Local ROV),1,2
51519,Karabro AB,11,SECURE (Full Coverage),0,2
15735,GO p.l.c.,11,SECURE (Active Local ROV),1,3
12307,Sandro Bolliger trading as Bolliger Network Solutions,11,SECURE (Active Local ROV),3,4
262731,CTINET SOLUCOES EM CONECTIVIDADE E INFORMATICA LTD,11,PARTIAL (Mixed Feeds),4,6
14773,Lancaster-Lebanon Intermediate Unit 13,11,SECURE (Active Local ROV),3,4
22442,"Phonoscope, Inc.",11,SECURE (Active Local ROV),1,2
149107,TRUMVPS COMPANY LIMITED,11,SECURE (Full Coverage),0,1
12360,KEVAG Telekom GmbH,11,SECURE (Full Coverage),0,5
262821,PHS INTERNET E SUPRIMENTOS LTDA - ME,11,PARTIAL (Mixed Feeds),2,4
262210,VIETTEL PERÚ S.A.C.,11,PARTIAL (Mixed Feeds),4,7
141968,PT Industri Kreatif Digital,10,SECURE (Active Local ROV),7,7
44407,Linkt SAS,10,SECURE (Full Coverage),0,2
30764,PODA a.s.,10,SECURE (Active Local ROV),1,3
204092,Association GRIFON,10,SECURE (Full Coverage),0,2
12897,ENTEGA Medianet GmbH,10,SECURE (Full Coverage),0,4
262248,Metro MPLS,10,SECURE (Active Local ROV),1,3
6893,"Saitis Network, N.Desir",10,SECURE (Active Local ROV),2,4
39702,S-IT Verwaltungs GmbH trading as S-IT Informationstechnologie Betreiber GmbH & Co. KG im Nordschwarzwald,10,SECURE (Active Local ROV),1,4
197155,Artnet Sp. z o.o.,10,PARTIAL (Mixed Feeds),2,6
262378,Compuservice Empreendimentos Ltda,10,PARTIAL (Mixed Feeds),4,5
40994,Alwyzon (Hohl IT),10,SECURE (Active Local ROV),2,5
3663,NetNet,10,SECURE (Full Coverage),0,2
3662,Joint Universities Computer Centre Limited,10,SECURE (Active Local ROV),1,2
262509,CONEXAO - TELECOM. E INTERNET LTDA,10,SECURE (Active Local ROV),1,1
14615,"Comporium, Inc",10,SECURE (Full Coverage),0,3
47152,Francesco Ascione trading as FIBERSIX,10,SECURE (Full Coverage),0,2
