asn,cc,name,cone,unsigned_customers,bad_pct
262761,BR,Sinal Br Telecom Ltda,75,221,61.731843575419
33651,US,"Comcast Cable Communications, LLC",170,219,55.86734693877551
52925,BR,Ascenty Data Centers e Telecomunicações S/A,143,217,64.0117994100295
4713,JP,NTT Communications Corporation (OCN),98,216,61.71428571428571
29208,CZ,"Quantcom, a.s.",58,213,41.68297455968688
8151,MX,UNINET,100,211,50.96618357487923
5578,SK,"SWAN, a.s.",52,210,48.275862068965516
263903,BR,INFORBARRA TELECOM,186,207,59.31232091690545
50607,PL,Stowarzyszenie e-Poludnie,428,206,48.69976359338061
28126,BR,BRISANET SERVICOS DE TELECOMUNICACOES S.A,101,206,63.580246913580254
27064,US,Defense Information Systems Agency (DISA),88,205,85.77405857740585
15694,PL,Atman Sp. z o.o.,160,204,59.82404692082112
852,CA,TELUS Communications Inc.,2176,203,69.28327645051195
269194,BR,ST1 INTERNET,176,202,63.722397476340696
262355,BR,VSX Networks,81,192,63.366336633663366
269096,BR,NORTH TECNOLOGIA,171,189,63.63636363636363
2152,US,CENIC - CalREN,117,184,73.6
33491,US,"Comcast Cable Communications, LLC",274,180,61.855670103092784
47232,CZ,ISP Alliance a.s.,87,179,43.65853658536585
13536,US,"FirstLight Fiber, Inc.",203,175,66.79389312977099
196844,PL,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputing and Networking Center",67,175,46.91689008042895
5400,GB,British Telecommunications (International) ,69,170,54.14012738853503
52872,BR,VOANET Telecomunicações Ltda.,56,163,52.243589743589745
265038,BR,TELFO SERVICO DE TELECOMUNICACOES LTDA,76,161,58.12274368231047
15305,US,"Syringa Networks, LLC",60,160,53.87205387205387
62081,XX,Stowarzyszenie e-Poludnie,294,155,45.45454545454545
1853,AT,ACONET,51,154,51.162790697674424
13649,US,Flexential Colorado Corp.,178,153,78.46153846153847
15895,UA,"""Kyivstar"" PJSC",94,150,45.59270516717325
394684,US,GOLD DATA USA INC,99,147,40.7202216066482
8641,RU,"LLC ""Nauka-Svyaz""",210,146,49.65986394557823
33652,US,"Comcast Cable Communications, LLC",66,144,50.70422535211267
8881,DE,1&1 Versatel GmbH,236,141,43.653250773993804
30517,US,"Great Lakes Comnet, Inc.",53,138,72.25130890052355
15164,US,Unite Private Networks LLC.,169,133,79.16666666666666
